frmName,ctlName,UseTheme,HoverColor,PressedColor,HoverForeColor,PressedForeColor	
frmStAssignDvs,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmStAssignDvs,cmdNext,False,16777215,16777215,16777215,16777215	
subfrmInspectStSiteInspection,cmdFinalize,True,14602694,16247774,16777215,16777215	
Form1,Command0,True,15709952,11957550,4210752,4210752	
Form1,Command1,True,15652797,11957550,4210752,4210752	
Form1,Command2,True,15652797,11957550,4210752,4210752	
Form1,Command4,True,15652797,11957550,4210752,4210752	
Form1,Command5,True,15652797,11957550,4210752,4210752	
Form1,Command6,True,15652797,11957550,4210752,4210752	
frmEnterListofDamages,cmdSearch,True,9917743,15983578,13431551,0	
frmEnterListofDamages,cmdSwitch,True,9917743,15983578,13431551,0	
frmEnterListofDamages,cmdClose,True,9917743,15189940,13431551,0	
navRFIProcess,cmdOpenRFICreation,True,14282978,12874308,0,13431551	
navRFIProcess,cmdOpenRFIConcurrence,True,14282978,12874308,0,13431551	
navRFIProcess,cmdOpenRFITransmittal,True,14282978,12874308,0,13431551	
navRFIProcess,cmdOpenRFIReceipt,True,14282978,12874308,0,13431551	
navRFIProcess,cmdOpenDeterminationMemo,True,14282978,9917743,0,13431551	
navRFIProcess,Command28,True,14282978,9917743,0,13431551	
subformEnterListofDamages,cmdAddNewSite,True,15652797,11957550,4210752,4210752	
subformEnterListofDamages,Command163,False,16777215,16777215,16777215,16777215	
subformEnterListofDamages,Command164,False,16777215,16777215,16777215,16777215	
subformEnterListofDamages,cmdPrevious,False,16777215,16777215,16777215,16777215	
subformEnterListofDamages,cmdNext,False,16777215,16777215,16777215,16777215	
frmDocTransmittal,Command105,False,16777215,16777215,16777215,16777215	
frmDocTransmittal,Command42,False,16777215,16777215,16777215,16777215	
frmRFITransmittal,cmdOpenRFI,True,16777215,16777215,16777215,16777215	
frmRFITransmittal,cmdTransmit,True,16777215,16777215,16777215,16777215	
frmRFITransmittal,cmdCancel,True,14282978,16777215,0,0	
frmRFITransmittal,cmdCloseForm,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdDvsSubmit,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdCloseForm,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdFirst,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdNext,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdLast,False,16777215,16777215,16777215,16777215	
frmSpecializedAssignPM,cmdCloseFrm,False,16777215,16777215,16777215,16777215	
frmDDDCompleteforProject,cmdReadyForConcurrence,True,14282978,11957550,0,4210752	
frmDDDCompleteforProject,Command42,False,16777215,16777215,16777215,16777215	
frmDDDCompleteforProject,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmDDDCompleteforProject,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmDDDCompleteforProject,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmDDDCompleteforProject,cmdNext,False,16777215,16777215,16777215,16777215	
frmDIUProcessProjectRoutingSheet,cmdLaneSelectStart,True,15652797,11957550,4210752,4210752	
frmDIUProcessProjectRoutingSheet,cmdLaneSelectComplete,True,15652797,11957550,4210752,4210752	
frmDIUProcessProjectRoutingSheet,cmdCloseForm,True,9917743,15983578,13431551,0	
frmDIUProcessProjectRoutingSheet,cmdFirstRecord,False,16777215,16777215,16777215,16777215	
frmDIUProcessProjectRoutingSheet,cmdLastRecord,False,16777215,16777215,16777215,16777215	
frmDIUProcessProjectRoutingSheet,cmdPrevious,False,16777215,16777215,16777215,16777215	
frmDIUProcessProjectRoutingSheet,cmdNext,False,16777215,16777215,16777215,16777215	
frmRFIReceipt,cmdOpenRFI,False,16777215,16777215,16777215,16777215	
frmRFIReceipt,cmdComplete,True,14282978,16777215,0,16777215	
frmRFIReceipt,cmdCloseForm,False,16777215,16777215,16777215,16777215	
subfrmRpaInfo short,cmdRptApplicantPOC,False,16777215,16777215,16777215,16777215	
frmRFIRequest,cmdOpenRFI,True,14282978,16777215,0,0	
frmRFIRequest,cmdCancel,True,14282978,16777215,0,0	
frmRFIRequest,cmdSubmit,True,14282978,16777215,0,0	
frmRFIRequest,cmdCloseForm,False,16777215,16777215,16777215,16777215	
navSpecializedLane-IDEA,cmdOpenfrmStandardLane,True,14282978,16777215,0,16777215	
navSpecializedLane-IDEA,Command24,False,16777215,16777215,16777215,16777215	
navSpecializedLane-IDEA,cmdOpenSiteInspectionWorkOrder,True,14282978,16777215,0,16777215	
navSpecializedLane-IDEA,Command27,True,16777215,16777215,16777215,16777215	
navSpecializedLane-IDEA,cmdOpenStSiteConcurrence,False,16777215,16777215,16777215,16777215	
navSpecializedLane-IDEA,cmdOpenWorkOrder,True,14282978,16777215,0,16777215	
navSpecializedLane-IDEA,Command36,False,16777215,16777215,16777215,16777215	
navSpecializedLane-IDEA,Command28,False,16777215,16777215,16777215,16777215	
subfrmSITFLAssignProjects-DDD Complete,Command133,False,16777215,16777215,16777215,16777215	
frmReportApplicantSearch,cmdSortID,False,16777215,16777215,16777215,16777215	
frmReportApplicantSearch,cmdName,False,16777215,16777215,16777215,16777215	
